Model,Accuracy,Precision,Recall,F1_Score,Average_Stability
Logistic Regression,0.8932876257879022,0.6631578947368421,0.1786389413988658,0.28145941921072226,0.9985016034501826
Random Forest,0.8937299568727193,0.6221662468513854,0.2334593572778828,0.3395189003436426,0.9937520734269599
XGBoost,0.8963839433816212,0.6430260047281324,0.2570888468809074,0.3673193787981094,0.9932655092336613
