Feature,Logistic_Avg_Flip_Rate,RF_Avg_Flip_Rate,XGB_Avg_Flip_Rate
age,9.215230933687199e-05,0.006727118581591655,0.008478012458992223
balance,5.529138560212319e-05,0.0007187880128276015,0.0014744369493899518
campaign,0.005086807475395334,0.011036160566183789,0.010593829481366803
previous,0.0012164104832467102,0.008367429687787975,0.00733532382321501
